UDI,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,y
7387,M,299.8,310.6,1574,31.8,113,0
4712,M,303.4,311.7,1515,44.2,168,0
9585,L,299.3,310.5,1529,41.3,17,0
9035,H,297.4,308.2,1585,46.2,37,0
6017,L,300.7,310.7,1425,45.3,48,0
2786,L,300.2,309.5,1495,32.6,49,0
7193,M,300.2,310.2,1429,43.8,54,0
4036,L,302.0,310.8,1454,36.6,0,0
7384,M,299.7,310.4,1410,44.5,105,0
460,L,297.4,308.6,1476,42.3,107,0
3765,L,302.4,311.0,1329,54.6,176,0
1444,L,298.9,310.1,1602,38.2,58,0
2211,L,299.7,309.2,1401,54.1,118,0
7600,L,300.5,311.0,1759,28.3,13,0
2141,L,299.3,309.0,1419,46.6,158,0
1952,L,298.0,307.8,1839,22.7,79,0
4809,L,303.5,312.3,1404,48.6,193,0
1255,H,297.5,308.8,1430,49.4,2,0
7718,L,300.5,311.6,1365,53.0,85,0
5895,L,301.2,310.9,1597,37.9,164,0
7634,L,300.4,311.5,1441,44.6,96,0
5883,L,301.4,311.1,1469,36.9,133,0
330,H,297.7,308.5,1720,29.9,210,0
3029,L,300.5,309.5,1379,55.6,2,0
331,M,297.6,308.4,1398,41.9,215,0
1391,L,298.9,310.2,1409,54.8,140,0
5926,M,300.2,310.1,1619,31.3,38,0
4146,M,301.8,310.3,1465,46.5,60,0
6568,M,301.3,310.6,1499,36.1,163,0
9403,L,297.7,308.1,1734,30.7,177,0
7732,L,300.6,312.0,1566,30.1,128,0
7110,L,300.9,310.5,1599,40.5,57,0
8163,L,299.6,311.0,1574,35.0,133,0
3293,L,301.3,310.3,1400,44.3,47,0
7165,M,300.2,310.1,1474,44.0,198,0
9686,L,299.0,310.0,1360,48.1,37,0
9615,M,299.1,310.3,1441,43.9,94,0
3363,L,301.4,310.6,1445,43.9,210,0
6896,M,301.0,311.6,1357,45.6,137,0
1608,L,297.8,307.8,1412,48.3,27,0
9749,M,298.9,310.1,1441,41.2,189,0
7979,L,301.2,312.4,1480,53.5,97,0
2440,L,299.1,308.4,1693,31.6,65,0
584,H,297.7,309.6,1697,32.2,210,0
2072,M,299.7,309.6,1313,60.0,186,0
8934,M,297.3,308.3,1544,41.7,6,0
6497,L,300.7,309.9,1815,27.0,190,0
6070,L,300.9,310.9,1601,34.0,181,0
8097,M,300.2,311.7,1555,37.4,169,0
5831,M,301.3,311.2,1438,42.4,7,0
5024,M,304.0,313.0,1575,34.5,92,0
1470,L,298.6,309.8,1497,41.6,118,0
3628,L,302.2,311.5,1588,30.6,39,0
8072,L,300.5,312.0,1646,29.5,106,0
4413,L,302.6,310.5,1450,43.2,68,0
8340,M,298.8,309.7,1499,40.3,154,0
1466,L,298.7,309.8,1546,40.9,109,0
4274,L,302.6,310.8,1486,36.4,160,0
8359,L,298.7,309.7,1547,37.4,0,0
5460,L,303.1,312.5,1453,49.1,140,0
8575,L,297.6,308.3,1424,53.9,132,0
7411,L,299.9,311.0,1747,27.6,177,0
6798,M,301.2,310.7,1615,34.9,95,0
7207,L,299.8,309.7,1457,51.9,89,0
3748,L,302.5,311.1,1499,38.8,135,0
5824,L,301.2,311.0,1544,39.3,217,0
470,M,297.3,308.8,1586,32.7,131,0
2242,L,299.2,308.4,1711,28.9,197,0
3713,L,302.3,311.5,1543,33.1,39,0
4906,L,303.6,312.4,1363,53.1,7,0
8144,L,299.7,310.9,1477,40.4,83,0
9339,H,298.5,309.0,1531,30.8,212,0
7922,L,300.7,311.9,1419,47.7,179,0
1936,M,298.1,307.9,1377,55.1,42,0
6472,L,300.4,309.6,1523,38.5,124,0
8214,M,299.2,310.5,1548,33.5,35,0
9201,M,297.9,308.8,1602,32.1,59,0
197,H,298.3,308.6,1432,49.5,91,0
8092,L,300.2,311.6,1375,56.9,155,0
